artist,collaboration,country_tfidf_score,curse_flag,dirtiness_score,genre,hip_hop_tfidf_score,pop_tfidf_score,rock_tfidf_score,song,total_lyrics,unique_words,whiskey_flag,year
Ed Sheeran,0,0.32,0,0,pop,0.36,0.36,0.24,Shape Of You,715,143,0,2017
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,0.08,0,0,pop,0.06,0.14,0.08,Despacito,515,187,0,2017
Bruno Mars,0,0.3,1,1,pop,0.36,0.4,0.22,That's What I Like,565,136,0,2017
Kendrick Lamar,0,0.42,1,8,hip-hop,0.46,0.36,0.22,HUMBLE.,638,200,0,2017
The Chainsmokers & Coldplay,1,0.14,0,0,pop,0.12,0.18,0.1,Something Just Like This,341,81,0,2017
Migos Featuring Lil Uzi Vert,1,0.4,1,6,hip-hop,0.52,0.4,0.26,Bad And Boujee,1246,347,0,2017
The Chainsmokers Featuring Halsey,1,0.18,0,0,pop,0.14,0.18,0.12,Closer,412,103,0,2017
Sam Hunt,0,0.2,0,0,country,0.22,0.24,0.16,Body Like A Back Road,307,108,0,2017
Imagine Dragons,0,0.14,0,0,rock,0.18,0.24,0.16,Believer,419,131,0,2017
Post Malone Featuring Quavo,1,0.32,1,4,hip-hop,0.36,0.3,0.16,Congratulations,542,175,0,2017
James Arthur,0,0.4,0,0,pop,0.3,0.44,0.26,Say You Won't Let Go,386,159,0,2017
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,0.48,1,2,hip-hop,0.54,0.48,0.38,I'm The One,1053,226,0,2017
Lil Uzi Vert,0,0.38,1,2,hip-hop,0.4,0.38,0.2,XO TOUR Llif3,503,166,0,2017
Future,0,0.2,1,3,hip-hop,0.22,0.14,0.12,Mask Off,378,159,0,2017
French Montana Featuring Swae Lee,1,0.38,1,3,hip-hop,0.5,0.46,0.26,Unforgettable,559,171,0,2017
Bruno Mars,0,0.34,1,2,pop,0.46,0.34,0.22,24K Magic,492,159,0,2017
Zedd & Alessia Cara,1,0.16,0,0,pop,0.22,0.24,0.14,Stay,315,85,0,2017
DJ Khaled Featuring Rihanna & Bryson Tiller,1,0.28,1,4,hip-hop,0.42,0.36,0.22,Wild Thoughts,512,172,0,2017
Rae Sremmurd Featuring Gucci Mane,1,0.28,1,4,hip-hop,0.46,0.42,0.3,Black Beatles,610,237,0,2017
The Weeknd Featuring Daft Punk,1,0.22,1,2,pop,0.34,0.26,0.22,Starboy,637,173,0,2017
Khalid,0,0.28,0,0,hip-hop,0.28,0.36,0.2,Location,325,95,0,2017
Charlie Puth,0,0.3,0,0,pop,0.22,0.36,0.26,Attention,524,92,0,2017
Shawn Mendes,0,0.24,0,0,pop,0.26,0.32,0.26,There's Nothing Holdin' Me Back,360,100,0,2017
Cardi B,0,0.48,1,6,hip-hop,0.64,0.5,0.3,Bodak Yellow,823,238,0,2017
Childish Gambino,0,0.3,1,3,pop,0.32,0.32,0.16,Redbone,277,92,0,2017
Zayn / Taylor Swift,1,0.28,0,0,pop,0.3,0.36,0.26,I Don't Wanna Live Forever,416,110,0,2017
Kygo x Selena Gomez,1,0.2,0,0,pop,0.18,0.2,0.14,It Ain't Me,387,89,1,2017
KYLE Featuring Lil Yachty,1,0.44,1,5,hip-hop,0.6,0.58,0.4,iSpy,784,279,0,2017
Julia Michaels,0,0.26,1,1,pop,0.3,0.24,0.2,Issues,395,89,0,2017
Alessia Cara,0,0.2,0,0,pop,0.14,0.28,0.22,Scars To Your Beautiful,513,122,0,2017
Logic Featuring Alessia Cara & Khalid,1,0.34,1,1,hip-hop,0.38,0.42,0.26,1-800-273-8255,633,160,0,2017
Niall Horan,0,0.3,0,0,pop,0.32,0.38,0.22,Slow Hands,283,80,0,2017
Rihanna,0,0.28,0,0,pop,0.24,0.3,0.2,Love On The Brain,372,99,0,2017
The Weeknd Featuring Daft Punk,1,0.3,0,0,pop,0.36,0.42,0.24,I Feel It Coming,559,90,0,2017
Big Sean,0,0.28,1,7,hip-hop,0.52,0.36,0.24,Bounce Back,710,261,0,2017
Liam Payne Featuring Quavo,1,0.42,0,0,pop,0.4,0.46,0.26,Strip That Down,754,172,0,2017
Drake,0,0.26,1,1,hip-hop,0.34,0.34,0.2,Fake Love,487,92,0,2017
Maroon 5 Featuring Kendrick Lamar,1,0.32,0,0,pop,0.32,0.38,0.26,Don't Wanna Know,614,116,0,2017
Taylor Swift,0,0.26,0,0,pop,0.26,0.3,0.22,Look What You Made Me Do,586,113,0,2017
Ed Sheeran,0,0.22,0,0,pop,0.18,0.24,0.18,Castle On The Hill,369,137,0,2017
