artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Drake,drake,drake,0,God's Plan,god's+plan,god'splan,2018
Ed Sheeran,ed+sheeran,edsheeran,0,Perfect,perfect,perfect,2018
Bebe Rexha & Florida Georgia Line,bebe+rexha,beberexha,1,Meant To Be,meant+to+be,meanttobe,2018
Camila Cabello Featuring Young Thug,camila+cabello,camilacabello,1,Havana,havana,havana,2018
Post Malone Featuring 21 Savage,post+malone,postmalone,1,Rockstar,rockstar,rockstar,2018
Post Malone Featuring Ty Dolla $ign,post+malone,postmalone,1,Psycho,psycho,psycho,2018
"Cardi B, Bad Bunny & J Balvin","cardi+b,+bad+bunny","cardib,badbunny",1,I Like It,i+like+it,ilikeit,2018
"Zedd, Maren Morris & Grey","zedd,+maren+morris","zedd,marenmorris",1,The Middle,the+middle,themiddle,2018
Drake,drake,drake,0,In My Feelings,in+my+feelings,inmyfeelings,2018
Maroon 5 Featuring Cardi B,maroon+5,maroon5,1,Girls Like You,girls+like+you,girlslikeyou,2018
Drake,drake,drake,0,Nice For What,nice+for+what,niceforwhat,2018
Juice WRLD,juice+wrld,juicewrld,0,Lucid Dreams,lucid+dreams,luciddreams,2018
Post Malone,post+malone,postmalone,0,Better Now,better+now,betternow,2018
Bruno Mars & Cardi B,bruno+mars,brunomars,1,Finesse,finesse,finesse,2018
Ella Mai,ella+mai,ellamai,0,Boo'd Up,boo'd+up,boo'dup,2018
Dua Lipa,dua+lipa,dualipa,0,New Rules,new+rules,newrules,2018
XXXTENTACION,xxxtentacion,xxxtentacion,0,Sad!,sad!,sad!,2018
Camila Cabello,camila+cabello,camilacabello,0,Never Be The Same,never+be+the+same,neverbethesame,2018
Khalid & Normani,khalid,khalid,1,Love Lies,love+lies,lovelies,2018
Ariana Grande,ariana+grande,arianagrande,0,No Tears Left To Cry,no+tears+left+to+cry,notearslefttocry,2018
Bazzi,bazzi,bazzi,0,Mine,mine,mine,2018
Imagine Dragons,imagine+dragons,imaginedragons,0,Thunder,thunder,thunder,2018
BlocBoy JB Featuring Drake,blocboy+jb,blocboyjb,1,Look Alive,look+alive,lookalive,2018
Taylor Swift,taylor+swift,taylorswift,0,Delicate,delicate,delicate,2018
Lil Baby & Drake,lil+baby,lilbaby,1,Yes Indeed,yes+indeed,yesindeed,2018
Marshmello & Anne-Marie,marshmello,marshmello,1,Friends,friends,friends,2018
Halsey,halsey,halsey,0,Bad At Love,bad+at+love,badatlove,2018
Tyga Featuring Offset,tyga,tyga,1,Taste,taste,taste,2018
NF,nf,nf,0,Let You Down,let+you+down,letyoudown,2018
G-Eazy Featuring A$AP Rocky & Cardi B,g-eazy,g-eazy,1,No Limit,no+limit,nolimit,2018
6ix9ine Featuring Nicki Minaj & Murda Beatz,6ix9ine,6ix9ine,1,FEFE,fefe,fefe,2018
Dan + Shay,dan+++shay,dan+shay,0,Tequila,tequila,tequila,2018
Portugal. The Man,portugal.+the+man,portugal.theman,0,Feel It Still,feel+it+still,feelitstill,2018
