artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Ed Sheeran,ed+sheeran,edsheeran,0,Shape Of You,shape+of+you,shapeofyou,2017
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,luis+fonsi,luisfonsi,1,Despacito,despacito,despacito,2017
Bruno Mars,bruno+mars,brunomars,0,That's What I Like,that's+what+i+like,that'swhatilike,2017
Kendrick Lamar,kendrick+lamar,kendricklamar,0,Humble.,humble.,humble.,2017
The Chainsmokers & Coldplay,the+chainsmokers,thechainsmokers,1,Something Just Like This,something+just+like+this,somethingjustlikethis,2017
Migos Featuring Lil Uzi Vert,migos,migos,1,Bad And Boujee,bad+and+boujee,badandboujee,2017
The Chainsmokers Featuring Halsey,the+chainsmokers,thechainsmokers,1,Closer,closer,closer,2017
Sam Hunt,sam+hunt,samhunt,0,Body Like A Back Road,body+like+a+back+road,bodylikeabackroad,2017
Imagine Dragons,imagine+dragons,imaginedragons,0,Believer,believer,believer,2017
Post Malone Featuring Quavo,post+malone,postmalone,1,Congratulations,congratulations,congratulations,2017
James Arthur,james+arthur,jamesarthur,0,Say You Won't Let Go,say+you+won't+let+go,sayyouwon'tletgo,2017
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",dj+khaled,djkhaled,1,I'm The One,i'm+the+one,i'mtheone,2017
Lil Uzi Vert,lil+uzi+vert,liluzivert,0,XO TOUR Llif3,xo+tour+llif3,xotourllif3,2017
Future,future,future,0,Mask Off,mask+off,maskoff,2017
French Montana Featuring Swae Lee,french+montana,frenchmontana,1,Unforgettable,unforgettable,unforgettable,2017
Bruno Mars,bruno+mars,brunomars,0,24K Magic,24k+magic,24kmagic,2017
Zedd & Alessia Cara,zedd,zedd,1,Stay,stay,stay,2017
DJ Khaled Featuring Rihanna & Bryson Tiller,dj+khaled,djkhaled,1,Wild Thoughts,wild+thoughts,wildthoughts,2017
Rae Sremmurd Featuring Gucci Mane,rae+sremmurd,raesremmurd,1,Black Beatles,black+beatles,blackbeatles,2017
The Weeknd Featuring Daft Punk,the+weeknd,theweeknd,1,Starboy,starboy,starboy,2017
Khalid,khalid,khalid,0,Location,location,location,2017
Charlie Puth,charlie+puth,charlieputh,0,Attention,attention,attention,2017
Shawn Mendes,shawn+mendes,shawnmendes,0,There's Nothing Holdin' Me Back,there's+nothing+holdin'+me+back,there'snothingholdin'meback,2017
Cardi B,cardi+b,cardib,0,Bodak Yellow (Money Moves),bodak+yellow+(money+moves),bodakyellow(moneymoves),2017
Childish Gambino,childish+gambino,childishgambino,0,Redbone,redbone,redbone,2017
Zayn / Taylor Swift,zayn+/+taylor+swift,zayn/taylorswift,0,I Don't Wanna Live Forever (Fifty Shades Darker),i+don't+wanna+live+forever+(fifty+shades+darker),idon'twannaliveforever(fiftyshadesdarker),2017
Kygo x Selena Gomez,kygo+x+selena+gomez,kygoxselenagomez,0,It Ain't Me,it+ain't+me,itain'tme,2017
KYLE Featuring Lil Yachty,kyle,kyle,1,iSpy,ispy,ispy,2017
Julia Michaels,julia+michaels,juliamichaels,0,Issues,issues,issues,2017
Alessia Cara,alessia+cara,alessiacara,0,Scars To Your Beautiful,scars+to+your+beautiful,scarstoyourbeautiful,2017
Logic Featuring Alessia Cara & Khalid,logic,logic,1,1-800-273-8255,1-800-273-8255,1-800-273-8255,2017
Niall Horan,niall+horan,niallhoran,0,Slow Hands,slow+hands,slowhands,2017
Rihanna,rihanna,rihanna,0,Love On The Brain,love+on+the+brain,loveonthebrain,2017
The Weeknd Featuring Daft Punk,the+weeknd,theweeknd,1,I Feel It Coming,i+feel+it+coming,ifeelitcoming,2017
